id,title,date,year,url,domain,source_name,source_type,collector,browser_family,incident_types,seeded,extension_related,incident_like,note,description
cyber-risk-browser-extensions-heightened-manageable-security-risks,"Browser Extensions Pose Heightened, but Manageable, Security Risks",2025-07-01,2025,https://www.darkreading.com/cyber-risk/browser-extensions-heightened-manageable-security-risks,darkreading.com,Dark Reading,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+compromised+publisher&format=rss,chrome|edge|firefox|opera,other,False,True,False,,"While browser extensions add useful functionality to Web browsers, such as blocking ads, managing passwords, and taking notes, they also increase the organization's security and privacy risks. Browser ..."
news-18-malicious-chrome-edge-extensions,18 Malicious Chrome and Edge Extensions Disguise as Everyday Tools,2025-07-07,2025,https://www.infosecurity-magazine.com/news/18-malicious-chrome-edge-extensions/,infosecurity-magazine.com,Infosecurity-magazine.com,bing-news-rss,https://www.bing.com/news/search?q=site%3Ainfosecurity-magazine.com+browser+extension+malicious&format=rss,chrome|edge|opera,malicious-extension|supply-chain,False,True,True,,A set of 18 malicious browser extensions that are still available to download on Google Chrome and Microsoft Edge have been identified by a team of security researchers at Koi Security. These ...
crypto-roundup-malicious-firefox-extensions-a-28940,Crypto Roundup: Malicious Firefox Extensions,2025-07-10,2025,https://www.govinfosecurity.com/crypto-roundup-malicious-firefox-extensions-a-28940,govinfosecurity.com,HHS,bing-news-rss,https://www.bing.com/news/search?q=firefox+extension+malicious&format=rss,firefox|opera,malicious-extension,False,True,True,,"Every week, Information Security Media Group rounds up cybersecurity incidents in digital assets. This week, uncovering 40 malicious crypto Firefox extensions, three sentenced in a Belgium court for ..."
tech-malicious-browser-extensions-caught-spying-2-million-users,Malicious browser extensions caught spying on 2 million users,2025-07-14,2025,https://www.foxnews.com/tech/malicious-browser-extensions-caught-spying-2-million-users,foxnews.com,Fox News,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+malicious&format=rss,chrome|edge|opera,malicious-extension,False,True,True,,"Every day, millions of people install tiny browser add-ons they believe will improve productivity or entertainment. With so many options available on the Chrome Web Store, users often rely on trust ..."
blog-layerx-joins-forces-with-google-chrome-enterprise-to-stop-malicious-browser-extensions,LayerX Joins Forces with Google Chrome Enterprise to Stop Malicious Browser Extensions - LayerX,2025-07-29,2025,https://layerxsecurity.com/blog/layerx-joins-forces-with-google-chrome-enterprise-to-stop-malicious-browser-extensions/,layerxsecurity.com,LayerX Security,sitemap,https://layerxsecurity.com/sitemap-posts.xml,chrome|edge|opera,malicious-extension,False,True,True,,"We’ve always believed that the browser is the new workspace. And as work increasingly happens inside the browser, it’s no surprise that securing it has become mission-critical. That’s why we’re thrilled to share some big news: LayerX is now officially collaborating with Google Chrome Enterprise to deliver a new level of visibility and control over […]"
browser-extensions-pose-serious-threat-to-gen-ai-tools-handling-sensitive-data,Browser Extensions Pose Serious Threat to Gen-AI Tools Handling Sensitive Data,2025-07-30,2025,https://www.securityweek.com/browser-extensions-pose-serious-threat-to-gen-ai-tools-handling-sensitive-data/,securityweek.com,SecurityWeek,bing-news-rss,https://www.bing.com/news/search?q=site%3Asecurityweek.com+browser+extension+malicious&format=rss,,other,False,True,False,,Browser security firm LayerX has disclosed a new attack method that works against popular gen-AI tools. The attack involves browser extensions and it can be used for covert data exfiltration. The ...
tech-malicious-firefox-extensions-are-draining-crypto-wallets,Malicious Firefox Extensions Are Draining Crypto Wallets,2025-08-10,2025,https://lifehacker.com/tech/malicious-firefox-extensions-are-draining-crypto-wallets,lifehacker.com,Lifehacker,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+malicious&format=rss,chrome|firefox,malicious-extension,False,True,True,,"Emily Long is a freelance writer based in Salt Lake City. After graduating from Duke University, she spent several years reporting on the federal workforce for Government Executive, a publication of ..."
news-chrome-vpn-extension-spyware,Legitimate Chrome VPN Extension Turns to Browser Spyware,2025-08-18,2025,https://www.infosecurity-magazine.com/news/chrome-vpn-extension-spyware/,infosecurity-magazine.com,Infosecurity-magazine.com,bing-news-rss,https://www.bing.com/news/search?q=site%3Ainfosecurity-magazine.com+browser+extension+malicious&format=rss,chrome|edge|opera,malicious-extension|supply-chain,False,True,True,,A popular Google-featured browser extension offering a virtual private network (VPN) service recently turned malicious and is now spying on users’ every move online. Researchers from Koi Security ...
information-technology-2025-08-new-ai-browser-agents-create-risks-if-sites-hijack-them-with-hidden-instructions,Anthropic’s auto-clicking AI Chrome extension raises browser-hijacking concerns,2025-08-27,2025,https://arstechnica.com/information-technology/2025/08/new-ai-browser-agents-create-risks-if-sites-hijack-them-with-hidden-instructions/,arstechnica.com,Ars Technica,bing-news-rss,https://www.bing.com/news/search?q=site%3Aarstechnica.com+browser+extension+malicious&format=rss,brave|chrome|edge|opera,ai-related|malicious-extension,False,True,False,,"As AI assistants become capable of controlling web browsers, a new security challenge has emerged: users must now trust that every website they visit won’t try to hijack their AI agent with hidden ..."
2025-08-28-new-research-shows-passkeys-can-hijacked-malicious-extensions,New research shows passkeys can be hijacked through malicious extensions - SiliconANGLE,2025-08-28,2025,https://siliconangle.com/2025/08/28/new-research-shows-passkeys-can-hijacked-malicious-extensions/,siliconangle.com,SiliconANGLE,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+hijacked&format=rss,edge|opera,malicious-extension|vulnerability,False,True,True,,"A new report out today from browser security company SquareX Ltd. reveals a critical flaw in passkeys, the widely promoted alternative to passwords, that could allow attackers to hijack accounts ..."
2025-10-131-chrome-extensions-caught-hijacking-html,131 Chrome Extensions Caught Hijacking WhatsApp Web for Massive Spam Campaign,2025-10-20,2025,http://thehackernews.com/2025/10/131-chrome-extensions-caught-hijacking.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome|opera,malicious-extension,False,True,True,,"Cybersecurity researchers have uncovered a coordinated campaign that leveraged 131 rebranded clones of a WhatsApp Web automation extension for Google Chrome to spam Brazilian users at scale. The 131 spamware extensions share the same codebase, design patterns, and infrastructure, according to supply chain security company Socket. The browser add-ons collectively have about 20,905 active users. """
article-4078274-ai-browsers-can-be-abused-by-malicious-ai-sidebar-extensions-report-html,AI browsers can be abused by malicious AI sidebar extensions: Report,2025-10-22,2025,https://www.computerworld.com/article/4078274/ai-browsers-can-be-abused-by-malicious-ai-sidebar-extensions-report.html,computerworld.com,Computerworld,bing-news-rss,https://www.bing.com/news/search?q=site%3Acomputerworld.com+browser+extension+malicious&format=rss,chrome|edge|firefox|opera,ai-related|malicious-extension,False,True,True,,"AI browsers may be smart, but they’re not smart enough to block a common threat: Malicious extensions. That’s the conclusion of researchers at SquareX, who on Thursday released a report showing how ..."
2025-10-ai-sidebar-spoofing-attack-squarex-uncovers-malicious-extensions-that-impersonate-ai-browser-sidebars-html,AI Sidebar Spoofing Attack: SquareX Uncovers Malicious Extensions that Impersonate AI Browser Sidebars | NextBigFuture.com,2025-10-22,2025,https://www.nextbigfuture.com/2025/10/ai-sidebar-spoofing-attack-squarex-uncovers-malicious-extensions-that-impersonate-ai-browser-sidebars.html,nextbigfuture.com,NextBigFuture,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+hijacked&format=rss,brave|edge|firefox|opera,ai-related|malicious-extension,False,True,True,,SquareX released critical research exposing a new class of attack targeting AI browsers. The AI Sidebar Spoofing attack leverages malicious browser extensions to impersonate trusted AI sidebar ...
ai-sidebar-spoofing-puts-chatgpt-atlas-perplexity-comet-and-other-browsers-at-risk,"AI Sidebar Spoofing Puts ChatGPT Atlas, Perplexity Comet and Other Browsers at Risk",2025-10-22,2025,https://www.securityweek.com/ai-sidebar-spoofing-puts-chatgpt-atlas-perplexity-comet-and-other-browsers-at-risk/,securityweek.com,SecurityWeek,bing-news-rss,https://www.bing.com/news/search?q=site%3Asecurityweek.com+browser+extension+malicious&format=rss,brave|chrome|edge|firefox,ai-related|malicious-extension,False,True,True,,"Enterprise browser security firm SquareX has demonstrated how malicious browser extensions can impersonate AI sidebar interfaces for phishing and other nefarious purposes. The attack method, named AI ..."
news-articles-malware-chrome-extension-secretly-siphoned-200102846-html,Malware Chrome Extension Secretly Siphoned Fees From Solana Traders for Months,2025-11-27,2025,https://www.yahoo.com/news/articles/malware-chrome-extension-secretly-siphoned-200102846.html,yahoo.com,Yahoo,bing-news-rss,https://www.bing.com/news/search?q=chrome+extension+malicious&format=rss,chrome,malicious-extension,False,True,True,,"Add Yahoo as a preferred source to see more of our stories on Google. A Chrome extension marketed as a convenient trading tool has been secretly siphoning SOL from users' swaps since last June, ..."
news-security-shadypanda-browser-extensions-amass-43m-installs-in-malicious-campaign,ShadyPanda browser extensions amass 4.3M installs in malicious campaign,2025-12-01,2025,https://www.bleepingcomputer.com/news/security/shadypanda-browser-extensions-amass-43m-installs-in-malicious-campaign/,bleepingcomputer.com,Bleeping Computer,bing-news-rss,https://www.bing.com/news/search?q=site%3Ableepingcomputer.com+browser+extension+malicious&format=rss,chrome|edge|opera,malicious-extension,False,True,True,,"A long-running malware operation known as ""ShadyPanda"" has amassed over 4.3 million installations of seemingly legitimate Chrome and Edge browser extensions that evolved into malware. The operation, ..."
